Date,Open,High,Low,Close,Volume
2025-01-02,180.2,182.0,179.8,181.4,54000000
2025-01-03,181.6,183.1,180.9,182.7,52500000
2025-01-06,182.5,184.3,181.7,183.9,51200000
2025-01-07,183.7,185.0,182.8,184.2,49800000
2025-01-08,184.0,185.8,183.2,185.1,50700000
2025-01-09,185.2,186.4,184.6,185.9,50100000
2025-01-10,185.8,187.0,185.0,186.3,49300000
2025-01-13,186.1,187.6,185.4,186.9,48800000
2025-01-14,187.0,188.2,186.1,187.6,48200000
2025-01-15,187.8,189.1,187.0,188.4,47900000
2025-01-16,188.5,189.8,187.9,188.8,47100000
2025-01-17,188.9,190.3,188.1,189.7,46500000
2025-01-21,189.6,191.0,188.8,190.1,45800000
2025-01-22,190.2,191.5,189.4,190.8,45100000
2025-01-23,190.9,192.2,190.1,191.5,44700000
2025-01-24,191.4,192.8,190.7,191.9,44100000
2025-01-27,192.0,193.4,191.2,192.6,43800000
2025-01-28,192.7,194.1,191.9,193.3,43200000
2025-01-29,193.4,194.8,192.6,193.9,42800000
2025-01-30,194.0,195.3,193.1,194.4,42400000
2025-01-31,194.3,195.7,193.6,194.9,42000000
2025-02-03,194.8,196.1,194.0,195.5,41600000
2025-02-04,195.6,196.9,194.8,196.1,41200000
2025-02-05,196.0,197.3,195.2,196.7,40900000
2025-02-06,196.8,198.0,195.9,197.0,40500000
2025-02-07,197.1,198.4,196.2,197.8,40100000
2025-02-10,197.9,199.1,197.0,198.2,39800000
2025-02-11,198.1,199.4,197.3,198.9,39400000
2025-02-12,199.0,200.1,198.2,199.3,39100000
2025-02-13,199.4,200.7,198.6,199.9,38800000
