actual_price,predicted_price
3430000,3647019.24012804
2135000,2346968.077123898
4865000,3418458.488531265
4340000,6360132.261061889
3710000,3479445.026958536
2100000,2877030.2954299576
4200000,4410856.4751276625
4270000,3804910.5218161168
5523000,5114732.711247002
4340000,4187421.6350254132
6300000,7271229.621669346
3430000,4177987.702031635
6083000,4362806.765421915
9681000,8623647.10724346
5740000,5666805.8888006825
4200000,4329986.738488476
5530000,4833184.5374271255
7245000,8510047.490720326
1960000,3121127.2962527727
6160000,5966686.867540388
6195000,7477370.234108247
3150000,3679862.689697393
4098500,4663800.929255399
4900000,4369562.822944247
3990000,4294935.831170151
4515000,4262628.63897977
4270000,3804461.4460270996
7490000,7806772.308368417
3710000,3282962.6813714644
4690000,4139836.3311183057
5943000,6936806.293095964
4900000,4950324.613633473
4123000,4447458.961091437
4613000,4595017.936979275
4900000,5216457.106939156
9870000,7991860.963534825
7350000,7183753.009144976
5250000,7412243.762044634
3500000,4450532.764443004
4025000,5334874.920645739
13300000,8371680.915049199
3500000,3391536.4868379347
5775000,6960246.706906895
6419000,5365067.494585835
2835000,4383920.945049466
5243000,5093952.71084202
3675000,3517047.2821589126
4200000,3943187.943640658
3640000,3668462.4575344413
1890000,2665267.5144638675
3500000,3091790.639228586
4200000,4758598.267471721
2660000,2229044.6704034545
8645000,5820000.607303572
4480000,4243941.940124022
3220000,3202758.4032321074
5495000,3990097.6071440643
3710000,3395430.3318627607
6160000,5184931.500144771
9100000,7754583.281890613
3780000,4113510.0656134277
7070000,6924911.465453317
3290000,4703556.312065871
3675000,3170239.662083144
4900000,5131548.006657243
5740000,5237740.643698666
2380000,3374432.911695257
8400000,6989392.9242366
8190000,6062186.918922346
2310000,2639092.9784367876
4900000,3700028.0167122
3640000,3857778.1613985114
6475000,6427582.60519446
6265000,6057126.03963309
4375000,3240018.972091765
4025000,3825409.8796156757
5565000,6211430.0895805275
4690000,4294397.838192033
3325000,3430633.485744114
8890000,6343126.192101616
3500000,4436996.859648393
2520000,3295705.3375396454
5880000,6431233.890399019
3150000,2788514.3726110337
3150000,4048548.3652380123
5600000,5510196.235273575
4270000,3916172.99563793
4193000,4765904.768344936
5873000,6627712.740361003
6230000,5203147.486030852
3920000,4912277.321479879
2653000,3242197.24733517
3010000,4075568.91875985
3745000,3584648.988144972
7070000,4786653.43170313
2940000,2756812.033755597
3290000,3902638.75524186
2275000,3741943.68664444
4753000,4660599.206182746
2940000,2783109.8183689457
3815000,3315867.1583412574
3115000,2662736.2516783774
5250000,5664458.998219639
6440000,7847842.879887511
2450000,2741224.584494086
3920000,3616566.433338307
3500000,3857830.8143898863
4550000,3829892.7168752453
2450000,2887226.3331078426
